antecedents,consequents,support,confidence,lift
"Score_High, Platform_PS4",Is_Hit,0.012307692307692308,0.35294117647058826,4.8467274233637125
Is_Hit,"Score_High, Platform_PS4",0.012307692307692308,0.16901408450704228,4.8467274233637125
"Genre_Shooter, Platform_XOne",Is_Hit,0.010256410256410256,0.3225806451612903,4.429804634257156
Is_Hit,"Genre_Shooter, Platform_XOne",0.010256410256410256,0.14084507042253522,4.429804634257156
Genre_Shooter,"Is_Hit, Platform_XOne",0.010256410256410256,0.07575757575757576,4.103535353535353
"Is_Hit, Platform_XOne",Genre_Shooter,0.010256410256410256,0.5555555555555555,4.103535353535353
"Genre_Shooter, Platform_PS4",Is_Hit,0.010256410256410256,0.29411764705882354,4.038939519469761
Is_Hit,"Genre_Shooter, Platform_PS4",0.010256410256410256,0.14084507042253522,4.03893951946976
Score_High,Is_Blockbuster,0.010256410256410256,0.06993006993006994,4.010695187165776
Is_Blockbuster,Score_High,0.010256410256410256,0.5882352941176471,4.010695187165775
"Score_Mid, Genre_Shooter",Is_Hit,0.01641025641025641,0.2318840579710145,3.184323331292101
Is_Hit,"Score_Mid, Genre_Shooter",0.01641025641025641,0.22535211267605634,3.184323331292101
Platform_X360,"Genre_Shooter, Score_Low",0.010256410256410256,0.1234567901234568,2.799310938845823
"Genre_Shooter, Score_Low",Platform_X360,0.010256410256410256,0.23255813953488375,2.799310938845823
Genre_Shooter,"Score_Mid, Is_Hit",0.01641025641025641,0.12121212121212122,2.68595041322314
"Score_Mid, Is_Hit",Genre_Shooter,0.01641025641025641,0.3636363636363636,2.68595041322314
Score_High,"Is_Hit, Platform_PS4",0.012307692307692308,0.08391608391608392,2.6392961876832843
"Is_Hit, Platform_PS4",Score_High,0.012307692307692308,0.3870967741935484,2.6392961876832843
"Genre_Shooter, Is_Hit",Platform_XOne,0.010256410256410256,0.43478260869565216,2.569169960474308
Platform_XOne,"Genre_Shooter, Is_Hit",0.010256410256410256,0.0606060606060606,2.569169960474308
Is_Hit,Score_High,0.02666666666666667,0.3661971830985916,2.4967989756722155
"Score_Mid, Genre_Sports",Is_Hit,0.010256410256410256,0.18181818181818182,2.4967989756722155
Score_High,Is_Hit,0.02666666666666667,0.18181818181818182,2.4967989756722155
Is_Hit,"Score_Mid, Genre_Sports",0.010256410256410256,0.14084507042253522,2.496798975672215
Is_Hit,Genre_Shooter,0.02358974358974359,0.323943661971831,2.3927656850192065
Genre_Shooter,Is_Hit,0.02358974358974359,0.17424242424242425,2.3927656850192065
"Is_Hit, Platform_PS4",Genre_Shooter,0.010256410256410256,0.3225806451612903,2.3826979472140764
Genre_Shooter,"Is_Hit, Platform_PS4",0.010256410256410256,0.07575757575757576,2.3826979472140764
"Score_Low, Platform_X360",Genre_Shooter,0.010256410256410256,0.30303030303030304,2.2382920110192837
Genre_Shooter,"Score_Low, Platform_X360",0.010256410256410256,0.07575757575757576,2.2382920110192837
Platform_PS4,"Genre_Action, Is_Hit",0.012307692307692308,0.04819277108433735,2.2375215146299485
"Genre_Action, Is_Hit",Platform_PS4,0.012307692307692308,0.5714285714285714,2.2375215146299485
Is_Hit,"Score_Mid, Platform_XOne",0.013333333333333334,0.1830985915492958,2.05196697425935
"Score_Mid, Platform_XOne",Is_Hit,0.013333333333333334,0.14942528735632185,2.0519669742593494
Platform_PS3,"Score_Low, Genre_Role-Playing",0.012307692307692308,0.09999999999999999,2.03125
"Score_Low, Genre_Role-Playing",Platform_PS3,0.012307692307692308,0.25,2.03125
Genre_Sports,"Score_Mid, Is_Hit",0.010256410256410256,0.09090909090909091,2.0144628099173554
"Score_Mid, Is_Hit",Genre_Sports,0.010256410256410256,0.22727272727272727,2.0144628099173554
"Score_Mid, Platform_PS4",Is_Hit,0.019487179487179488,0.14393939393939395,1.9766325224071706
Is_Hit,"Score_Mid, Platform_PS4",0.019487179487179488,0.26760563380281693,1.9766325224071706
"Platform_PS3, Score_Low",Genre_Role-Playing,0.012307692307692308,0.2553191489361702,1.9756838905775074
Genre_Role-Playing,"Platform_PS3, Score_Low",0.012307692307692308,0.09523809523809523,1.9756838905775074
Is_Hit,"Genre_Action, Platform_PS4",0.012307692307692308,0.16901408450704228,1.961770623742455
"Genre_Action, Platform_PS4",Is_Hit,0.012307692307692308,0.14285714285714285,1.9617706237424548
Platform_PS4,"Score_Low, Genre_Sports",0.01641025641025641,0.06425702811244981,1.8985031033223807
"Score_Low, Genre_Sports",Platform_PS4,0.01641025641025641,0.48484848484848486,1.8985031033223805
Genre_Sports,"Score_Low, Platform_XOne",0.010256410256410256,0.09090909090909091,1.885880077369439
"Score_Low, Platform_XOne",Genre_Sports,0.010256410256410256,0.2127659574468085,1.885880077369439
Platform_PS4,"Score_High, Is_Hit",0.012307692307692308,0.04819277108433735,1.8072289156626506
"Score_High, Is_Hit",Platform_PS4,0.012307692307692308,0.4615384615384615,1.8072289156626506
"Score_Mid, Genre_Shooter",Platform_XOne,0.021538461538461538,0.30434782608695654,1.7984189723320159
Platform_XOne,"Score_Mid, Genre_Shooter",0.021538461538461538,0.12727272727272726,1.7984189723320156
Platform_XOne,"Score_Low, Genre_Sports",0.010256410256410256,0.0606060606060606,1.7906336088154269
"Score_Low, Genre_Sports",Platform_XOne,0.010256410256410256,0.30303030303030304,1.7906336088154269
Genre_Shooter,"Score_Mid, Platform_XOne",0.021538461538461538,0.1590909090909091,1.7829153605015675
"Score_Mid, Platform_XOne",Genre_Shooter,0.021538461538461538,0.2413793103448276,1.7829153605015675
Genre_Sports,Is_Hit,0.014358974358974359,0.12727272727272726,1.7477592829705506
Is_Hit,Genre_Sports,0.014358974358974359,0.1971830985915493,1.7477592829705506
