Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Success_Category,Critic_Category,User_Category,NA_Ratio,EU_Ratio,JP_Ratio,Cluster
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,8.2,Blockbuster,Excellent,Good,0.33365019011406843,0.4320342205323194,0.04657794676806084,3
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,8.1,Blockbuster,Excellent,Good,0.5937307928703135,0.315918869084204,0.0036877688998156115,3
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,8.3,Blockbuster,Excellent,Good,0.3140364789849326,0.500396510705789,0.03013481363996828,3
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,2.6,Blockbuster,Average,Poor,0.6565853658536586,0.2497560975609756,0.003902439024390244,3
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,2.6,Blockbuster,Average,Poor,0.43803418803418803,0.38782051282051283,0.0405982905982906,3
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,4.3,Blockbuster,Good,Poor,0.1306884480746791,0.7141190198366394,0.007001166861143523,3
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,5.7,Blockbuster,Good,Average,0.3668407310704961,0.45430809399477806,0.018276762402088774,3
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,5.0,Blockbuster,Good,Poor,0.08695652173913045,0.7575757575757576,0.010540184453227932,1
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,6.5,Blockbuster,Excellent,Average,0.35335195530726254,0.45670391061452514,0.0335195530726257,3
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,9.1,Blockbuster,Excellent,Excellent,0.44428772919605075,0.3032440056417489,0.18053596614950634,3
